identificationNumber,Relationship,title,blob_uri,externalURL,rightsHolder_org,rightsHolder_person,publishTo
MR.ALBQ.893,46441,Tricentennial Towers (South Tower),http://www.publicartarchive.org/sites/default/files/584.01_01.jpg,,,Jim Glidden,Public Art Archive
MR.ALBQ.894,46441,Tricentennial Towers (South Tower),http://www.publicartarchive.org/sites/default/files/584.01_02.jpg,,,Jim Glidden,Public Art Archive
MR.ALBQ.895,46441,Tricentennial Towers (South Tower),http://www.publicartarchive.org/sites/default/files/584.01_03.jpg,,,Jim Glidden,Public Art Archive
MR.ALBQ.896,46441,Tricentennial Towers (South Tower),http://www.publicartarchive.org/sites/default/files/584.01_04.jpg,,,Jim Glidden,Public Art Archive
MR.ALBQ.897,46446,Fish Globe,http://www.publicartarchive.org/sites/default/files/585_02.jpg,,,Colette Hosmer,Public Art Archive
MR.ALBQ.898,46446,Fish Globe,http://www.publicartarchive.org/sites/default/files/585_01.jpg,,,Colette Hosmer,Public Art Archive
MR.ALBQ.899,46446,Fish Globe,http://www.publicartarchive.org/sites/default/files/585_03.jpg,,,Colette Hosmer,Public Art Archive
MR.ALBQ.900,46446,Fish Globe,http://www.publicartarchive.org/sites/default/files/585_04.jpg,,,Colette Hosmer,Public Art Archive
MR.ALBQ.901,46446,Fish Globe,http://www.publicartarchive.org/sites/default/files/585_05.jpg,,,Colette Hosmer,Public Art Archive
MR.ALBQ.902,46452,Wheat,http://www.publicartarchive.org/sites/default/files/586_01.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.903,46452,Wheat,http://www.publicartarchive.org/sites/default/files/586_02.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.904,46452,Wheat,http://www.publicartarchive.org/sites/default/files/586_03.jpg,,,Juan Navarrete,Public Art Archive
MR.ALBQ.905,46456,Corazon,http://www.publicartarchive.org/sites/default/files/587_01.JPG,,,Patrick Simpson,Public Art Archive
MR.ALBQ.906,46456,Corazon,http://www.publicartarchive.org/sites/default/files/587_02.JPG,,,Patrick Simpson,Public Art Archive
MR.ALBQ.907,46459,BioPark Fence,http://www.publicartarchive.org/sites/default/files/588_01.jpg,,,Danielle Miller,Public Art Archive
MR.ALBQ.908,46459,BioPark Fence,http://www.publicartarchive.org/sites/default/files/588_02.jpg,,,Danielle Miller,Public Art Archive
MR.ALBQ.909,46462,BioPark Fence,http://www.publicartarchive.org/sites/default/files/589_01.jpg,,,Jim Gallucci,Public Art Archive
MR.ALBQ.910,46462,BioPark Fence,http://www.publicartarchive.org/sites/default/files/589_02.jpg,,,Jim Gallucci,Public Art Archive
MR.ALBQ.911,46462,BioPark Fence,http://www.publicartarchive.org/sites/default/files/589_02_0.jpg,,,Jim Gallucci,Public Art Archive
MR.ALBQ.912,46462,BioPark Fence,http://www.publicartarchive.org/sites/default/files/589_03.jpg,,,Jim Gallucci,Public Art Archive
MR.ALBQ.913,46462,BioPark Fence,http://www.publicartarchive.org/sites/default/files/589_04.jpg,,,Jim Gallucci,Public Art Archive
