refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(ABCStore1556908336486)'ABC Store',ABC Store,ABCStore1556908336486
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(Brick1556908434558)'Brick',Brick,Brick1556908434558
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(CAPITALIZATION1556908352890)'CAPITALIZATION',CAPITALIZATION,CAPITALIZATION1556908352890
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(common)'common term',common term,common
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(full)'full term',full term,full
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(Vegetable1556908426147)'Vegetable',Vegetable,Vegetable1556908426147
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(atlas)'Atlas',Atlas,atlas
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(biography)'Biography',Biography,biography
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(birthcert)'Birth certificate',Birth certificate,birthcert
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(brochure)'Brochure',Brochure,brochure
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(conditionreport)'Condition report',Condition report,conditionreport
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(contract)'Contract',Contract,contract
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(criticism)'Criticism',Criticism,criticism
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(diary)'Diary',Diary,diary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(dictionary)'Dictionary',Dictionary,dictionary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(dissertation)'Dissertation',Dissertation,dissertation
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(encyclopedia)'Encyclopedia',Encyclopedia,encyclopedia
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(catalog)'Exhibition catalog',Exhibition catalog,catalog
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(exhibitionchecklist)'Exhibition checklist',Exhibition checklist,exhibitionchecklist
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(exhibitionreview)'Exhibition review',Exhibition review,exhibitionreview
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(Festschrift)'Festschrift',Festschrift,Festschrift
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(gazetteer)'Gazetteer',Gazetteer,gazetteer
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(guide)'Guide book',Guide book,guide
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(history)'History',History,history
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(inventory)'Inventory',Inventory,inventory
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(journal)'Journal article',Journal article,journal
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(letter)'Letter',Letter,letter
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(monograph)'Monograph',Monograph,monograph
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(newspaper)'Newspaper article',Newspaper article,newspaper
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(obituary)'Obituary',Obituary,obituary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(verbalopinion)'Verbal opinion',Verbal opinion,verbalopinion
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(borehole)'borehole',borehole,borehole
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(commissioned)'commissioned',commissioned,commissioned
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(donation)'donation',donation,donation
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(excavation)'excavation',excavation,excavation
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(exchanged)'exchanged',exchanged,exchanged
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(founddead)'found dead',found dead,founddead
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(metaldetector)'metal detector',metal detector,metaldetector
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(netted)'netted',netted,netted
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(photographed)'photographed',photographed,photographed
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(purchased)'purchased',purchased,purchased
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(salvaged)'salvaged',salvaged,salvaged
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(shot)'shot',shot,shot
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(trapped)'trapped',trapped,trapped
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(abbreviation)'abbreviation',abbreviation,abbreviation
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(common)'common term',common term,common
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(full)'full term',full term,full
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(jargonslang)'jargon/slang',jargon/slang,jargonslang
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(scientific)'scientific term',scientific term,scientific
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(category1561138445234)'category',category,category1561138445234
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(class1561138445252)'class ',class ,class1561138445252
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(class)'class (MO)',class (MO),class
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(family)'family (MO)',family (MO),family
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(generic)'generic (MO)',generic (MO),generic
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(primaryobjectterm1561138445268)'primary object term',primary object term,primaryobjectterm1561138445268
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(secondaryobjectterm1561138445285)'secondary object term',secondary object term,secondaryobjectterm1561138445285
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(subclass1561139537547)'subclass',subclass,subclass1561139537547
urn:cspace:core.collectionspace.org:vocabularies:name(concepttype):item:name(tertiaryobjectterm1561138445301)'tertiary object term',tertiary object term,tertiaryobjectterm1561138445301
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckmethod):item:name(observed)'Observed',Observed,observed
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckmethod):item:name(xrayed)'X-Rayed',X-Rayed,xrayed
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckreason):item:name(conservation)'Conservation',Conservation,conservation
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckreason):item:name(consideration)'Consideration',Consideration,consideration
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckreason):item:name(damagedintransit)'Damaged in transit',Damaged in transit,damagedintransit
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckreason):item:name(enquiry)'Enquiry',Enquiry,enquiry
urn:cspace:core.collectionspace.org:vocabularies:name(conditioncheckreason):item:name(loanin)'Loan in',Loan in,loanin
urn:cspace:core.collectionspace.org:vocabularies:name(conditionfitness):item:name(dangerous)'Dangerous',Dangerous,dangerous
urn:cspace:core.collectionspace.org:vocabularies:name(conditionfitness):item:name(reasonable)'Reasonable',Reasonable,reasonable
urn:cspace:core.collectionspace.org:vocabularies:name(conditionfitness):item:name(suitable)'Suitable',Suitable,suitable
urn:cspace:core.collectionspace.org:vocabularies:name(conditionfitness):item:name(unsuitable)'Unsuitable',Unsuitable,unsuitable
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(analysisapproved)'Analysis approved',Analysis approved,analysisapproved
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(analysiscomplete)'Analysis complete',Analysis complete,analysiscomplete
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(analysisinprogress)'Analysis in progress',Analysis in progress,analysisinprogress
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(analysisproposed)'Analysis proposed',Analysis proposed,analysisproposed
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(treatmentapproved)'Treatment approved',Treatment approved,treatmentapproved
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(treatmentcomplete)'Treatment complete',Treatment complete,treatmentcomplete
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(treatmentinprogress)'Treatment in progress',Treatment in progress,treatmentinprogress
urn:cspace:core.collectionspace.org:vocabularies:name(conservationstatus):item:name(treatmentproposed)'Treatment proposed',Treatment proposed,treatmentproposed
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(after)'After',After,after
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(approximate)'Approximate',Approximate,approximate
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(before)'Before',Before,before
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(circa)'Circa',Circa,circa
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(possibly)'Possibly',Possibly,possibly
urn:cspace:core.collectionspace.org:vocabularies:name(datecertainty):item:name(probably)'Probably',Probably,probably
urn:cspace:core.collectionspace.org:vocabularies:name(dateera):item:name(bce)'BCE',BCE,bce
urn:cspace:core.collectionspace.org:vocabularies:name(dateera):item:name(ce)'CE',CE,ce
urn:cspace:core.collectionspace.org:vocabularies:name(datequalifier):item:name(days)'Day(s)',Day(s),days
urn:cspace:core.collectionspace.org:vocabularies:name(datequalifier):item:name(month)'Month(s)',Month(s),month
urn:cspace:core.collectionspace.org:vocabularies:name(datequalifier):item:name(years)'Year(s)',Year(s),years
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalgroup):item:name(board_of_trustees)'board of trustees',board of trustees,board_of_trustees
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalgroup):item:name(collection_committee)'collection committee',collection committee,collection_committee
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalgroup):item:name(executive_committee)'executive committee',executive committee,executive_committee
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalstatus):item:name(approved)'approved',approved,approved
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalstatus):item:name(not_approved)'not approved',not approved,not_approved
urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalstatus):item:name(not_required)'not required',not required,not_required
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(aeration)'aeration',aeration,aeration
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(bending)'bending',bending,bending
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(blowing)'blowing',blowing,blowing
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(corrugating)'corrugating',corrugating,corrugating
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(diecutting)'diecutting',diecutting,diecutting
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(embossing)'embossing',embossing,embossing
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(expanding)'expanding',expanding,expanding
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(extrusion)'extrusion',extrusion,extrusion
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(forging)'forging',forging,forging
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(inflating)'inflating',inflating,inflating
