authority_type,authority_subtype,shortIdentifier,termDisplayName,mainBodyName,currentPlace,webAddress
Organization,organization(e)merge art fair,(e)merge art fair,,www.emergeart.org
Organization,organization,"1% Public Art Program, Johnson County, KS","1% Public Art Program, Johnson County, KS",,www.johnsonart.org
Organization,organization,21c Museum Hotel ,21c Museum Hotel ,
Organization,organization,"49th Ward Municipality, Chicago ","49th Ward Municipality, Chicago ",
Organization,organization,5 Town Friends of the Arts ,5 Town Friends of the Arts ,
Organization,organization,9/11 London Project Foundation ,9/11 London Project Foundation ,
